"Variable","Series_Name","Series_template","Factor","notes","notes_variable"
"Final Energy|Industry|NonEInt Mfg|Wood Products|Oil","Other Manufacturing : Wood Products : Petroleum Subtotal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_WDP_PET_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Wood Products|Gas","Other Manufacturing : Wood Products : Natural Gas","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_WDP_NG_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Wood Products|Electricity","Other Manufacturing : Wood Products : Purchased Electricity","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_WDP_PRC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Wood Products|Coal","Other Manufacturing : Wood Products : Steam Coal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_WDP_STC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Wood Products|Biomass Solids","Other Manufacturing : Wood Products : Renewables","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_WDP_REB_NA_NA_TRLBTU.A",1,"Allocating Renewables to Biomass Solids. ",""
"Final Energy|Industry|NonEInt Mfg|Plastic & rubber|Oil","Other Manufacturing : Plastics : Petroleum Subtotal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_PLI_PET_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Plastic & rubber|Gas","Other Manufacturing : Plastics : Natural Gas","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_PLI_NG_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Plastic & rubber|Electricity","Other Manufacturing : Plastics : Purchased Electricity","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_PLI_PRC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Plastic & rubber|Coal","Other Manufacturing : Plastics : Steam Coal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_PLI_STC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Plastic & rubber|Biomass Solids","Other Manufacturing : Plastics : Renewables","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_PLI_REB_NA_NA_TRLBTU.A",1,"Allocating Renewables to Biomass Solids. ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Transport equip|Oil","Metal Based Durables : Transportation Equipment : Petroleum Subtotal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_TEQ_PET_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Transport equip|Gas","Metal Based Durables : Transportation Equipment : Natural Gas","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_TEQ_NG_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Transport equip|Electricity","Metal Based Durables : Transportation Equipment : Purchased Electricity","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_TEQ_PRC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Transport equip|Coal","Metal Based Durables : Transportation Equipment : Steam Coal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_TEQ_STC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Transport equip|Biomass Solids","Metal Based Durables : Transportation Equipment : Renewables","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_TEQ_REB_NA_NA_TRLBTU.A",1,"Allocating Renewables to Biomass Solids. ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Machinery|Oil","Metal Based Durables :  Machinery : Petroleum Subtotal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_MCHI_PET_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Machinery|Gas","Metal Based Durables :  Machinery : Natural Gas","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_MCHI_NG_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Machinery|Electricity","Metal Based Durables :  Machinery : Purchased Electricity","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_MCHI_PRC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Machinery|Coal","Metal Based Durables :  Machinery : Steam Coal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_MCHI_STC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Machinery|Biomass Solids","Metal Based Durables :  Machinery : Renewables","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_MCHI_REB_NA_NA_TRLBTU.A",1,"Allocating Renewables to Biomass Solids. ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Fab metal|Oil","Metal Based Durables : Fabricated Metal Products : Petroleum Subtotal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_FBP_PET_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Fab metal|Gas","Metal Based Durables : Fabricated Metal Products : Natural Gas","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_FBP_NG_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Fab metal|Electricity","Metal Based Durables : Fabricated Metal Products : Purchased Electricity","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_FBP_PRC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Fab metal|Coal","Metal Based Durables : Fabricated Metal Products : Steam Coal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_FBP_STC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Fab metal|Biomass Solids","Metal Based Durables : Fabricated Metal Products : Renewables","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_FBP_REB_NA_NA_TRLBTU.A",1,"Allocating Renewables to Biomass Solids. ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Computer|Oil","Metal Based Durables : Computers : Petroleum Subtotal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_CMPR_PET_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Computer|Gas","Metal Based Durables : Computers : Natural Gas","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_CMPR_NG_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Computer|Electricity","Metal Based Durables : Computers : Purchased Electricity","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_CMPR_PRC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Computer|Coal","Metal Based Durables : Computers : Steam Coal","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_CMPR_STC_NA_NA_TRLBTU.A",1,". ",""
"Final Energy|Industry|NonEInt Mfg|Metal durables|Computer|Biomass Solids","Metal Based Durables : Computers : Renewables","{EIA_dataset}.{EIA_scenario}.CNSM_NA_IDAL_CMPR_REB_NA_NA_TRLBTU.A",1,"Allocating Renewables to Biomass Solids. ",""
