Variable,Series_Name,Series_template,Factor,notes,notes_variable
Primary Energy,Total Energy : Exports : Total,{EIA_dataset}.{EIA_scenario}.TRAD_EXP_TEN_NA_TOT_NA_USA_QBTU.A,-1,,
Primary Energy|Biomass,Total Energy : Use : Biomass,{EIA_dataset}.{EIA_scenario}.CNSM_USE_TEN_NA_BMS_NA_USA_QBTU.A,1,,
Primary Energy|Biomass|Electricity,"Renewable Energy : All Sectors : Electricity Generation : Wood and Other Biomass, United States",{EIA_dataset}.{EIA_scenario}.GEN_NA_NA_NA_WBM_NA_NA_BLNKWH.A,1,,
Primary Energy|Biomass|Electricity,"Renewable Energy : All Sectors : Electricity Generation : Municipal Waste, United States",{EIA_dataset}.{EIA_scenario}.GEN_NA_NA_NA_MUNWST_NA_NA_BLNKWH.A,1,,
Primary Energy|Coal,Total Energy : Production : Coal,{EIA_dataset}.{EIA_scenario}.SUP_PRD_TEN_NA_CL_NA_USA_QBTU.A,1,,
Primary Energy|Coal,Total Energy : Exports : Coal,{EIA_dataset}.{EIA_scenario}.TRAD_EXP_TEN_NA_CL_NA_USA_QBTU.A,-1,,
Primary Energy|Fossil,Total Energy : Exports : Coal,{EIA_dataset}.{EIA_scenario}.TRAD_EXP_TEN_NA_CL_NA_USA_QBTU.A,-1,,
Primary Energy|Fossil,Total Energy : Exports : Natural Gas,{EIA_dataset}.{EIA_scenario}.TRAD_EXP_TEN_NA_NG_NA_USA_QBTU.A,-1,,
Primary Energy|Fossil,Total Energy : Exports : Petroleum,{EIA_dataset}.{EIA_scenario}.TRAD_EXP_TEN_NA_PET_NA_USA_QBTU.A,-1,,
Primary Energy|Fossil,Total Energy : Imports : Crude Oil,{EIA_dataset}.{EIA_scenario}.TRAD_IMP_TEN_NA_CR_NA_USA_QBTU.A,1,,
Primary Energy|Fossil,Total Energy : Imports : Liquid Fuels,{EIA_dataset}.{EIA_scenario}.TRAD_IMP_TEN_NA_LFL_NA_USA_QBTU.A,1,,
Primary Energy|Fossil,Total Energy : Imports : Natural Gas,{EIA_dataset}.{EIA_scenario}.TRAD_IMP_TEN_NA_NG_NA_USA_QBTU.A,1,,
Primary Energy|Fossil,Total Energy : Production : Coal,{EIA_dataset}.{EIA_scenario}.SUP_PRD_TEN_NA_CL_NA_USA_QBTU.A,1,,
Primary Energy|Fossil,Total Energy : Production : Crude Oil and Lease Condensate,{EIA_dataset}.{EIA_scenario}.SUP_PRD_TEN_NA_CLC_NA_USA_QBTU.A,1,,
Primary Energy|Fossil,Total Energy : Production : Dry Natural Gas,{EIA_dataset}.{EIA_scenario}.SUP_PRD_TEN_NA_DNG_NA_USA_QBTU.A,1,,
Primary Energy|Fossil,Total Energy : Production : Natural Gas Plant Liquids,{EIA_dataset}.{EIA_scenario}.SUP_PRD_TEN_NA_NGP_NA_USA_QBTU.A,1,,
Primary Energy|Gas,"Energy Use : Total : Natural Gas, United States",{EIA_dataset}.{EIA_scenario}.CNSM_ENU_TEN_NA_NG_NA_NA_QBTU.A,1,,
Primary Energy|Oil,Total Energy : Use : Liquid Fuels,{EIA_dataset}.{EIA_scenario}.CNSM_USE_TEN_NA_LFL_NA_USA_QBTU.A,1,,
Secondary Energy|Electricity,Electricity : Total Electricity Generation,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_TEG_NA_USA_BLNKWH.A,1,,
Secondary Energy|Electricity|Coal,Electricity : Total Electricity Generation by Fuel : Coal,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_TGE_CL_NA_USA_BLNKWH.A,1,,
Secondary Energy|Electricity|Gas,Electricity : Total Electricity Generation by Fuel : Natural Gas,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_TGE_NG_NA_USA_BLNKWH.A,1,,
Secondary Energy|Electricity|Geothermal,Renewable Energy : Electric Power Sector : Generation : Geothermal,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_GEOTHM_NA_NA_BLNKWH.A,1,,
Secondary Energy|Electricity|Hydro,Renewable Energy : Electric Power Sector : Generation : Hydropower,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_HYD_CNV_NA_BLNKWH.A,1,,
,Electricity : Net Imports,{EIA_dataset}.{EIA_scenario}.TRAD_NA_ELEP_NA_NETIMP_NA_USA_BLNKWH.A,1,not in EMF37 template,Secondary Energy|Electricity|Imports
Secondary Energy|Electricity|Nuclear,Electricity : Total Electricity Generation by Fuel : Nuclear,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_TGE_NUP_NA_USA_BLNKWH.A,1,,
Secondary Energy|Electricity|Oil,Electricity : Total Electricity Generation by Fuel : Petroleum,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_TGE_PET_NA_USA_BLNKWH.A,1,,
,Electricity : Total Electricity Generation by Fuel : Other,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_TGE_OTH_NA_USA_BLNKWH.A,1,not in EMF37 template,Secondary Energy|Electricity|Other
Secondary Energy|Electricity|Solar|CSP,Renewable Energy : Electric Power Sector : Generation : Solar Thermal,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_SLR_THERM_NA_BLNKWH.A,1,,
Secondary Energy|Electricity|Solar|PV,Renewable Energy : Electric Power Sector : Generation : Solar Photovoltaic,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_SLR_PHTVL_NA_BLNKWH.A,1,,
Secondary Energy|Electricity|Wind,Renewable Energy : Electric Power Sector : Generation : Wind,{EIA_dataset}.{EIA_scenario}.GEN_NA_ELEP_NA_WND_NA_NA_BLNKWH.A,1,,
