model	scenario	region	variable	unit	2020	2030	2040
AEO.2020	REF2020	USA	Final Energy|Industry|Non Mfg|Agriculture|Gas	EJ/yr	0.21	0.2	0.22
AEO.2020	REF2020	USA	Final Energy|Industry|Non Mfg|Agriculture|Oil	EJ/yr	0.66	0.78	0.87
AEO.2020	REF2020	USA	Final Energy|Industry|Non Mfg|Construction|Electricity	EJ/yr	0.17	0.21	0.23
AEO.2020	REF2020	USA	Final Energy|Industry|Non Mfg|Construction|Gas	EJ/yr	0.01	0.01	0.01
AEO.2020	REF2020	USA	Final Energy|Industry|Non Mfg|Construction|Oil	EJ/yr	0.8	0.99	1.08
AEO.2020	REF2020	USA	Final Energy|Industry|Non Mfg|Other mining|Biomass Solids	EJ/yr	0.01	0.01	0.01
AEO.2020	REF2020	USA	Final Energy|Industry|Non Mfg|Other mining|Coal	EJ/yr	0.08	0.1	0.1
AEO.2020	REF2020	USA	Final Energy|Industry|Non Mfg|Other mining|Electricity	EJ/yr	0.32	0.35	0.35
AEO.2020	REF2020	USA	Final Energy|Industry|Non Mfg|Other mining|Gas	EJ/yr	2.63	3.05	3.17
AEO.2020	REF2020	USA	Final Energy|Industry|Non Mfg|Other mining|Oil	EJ/yr	0.24	0.28	0.27
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Biomass Solids	EJ/yr	0.03	0.04	0.05
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Coal	EJ/yr	0.05	0.06	0.07
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Gas	EJ/yr	0.85	1.01	1.13
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Balance of manufacturing|Oil	EJ/yr	0.09	0.07	0.06
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Biomass Solids	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Coal	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Gas	EJ/yr	0.04	0.04	0.04
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Appliances|Oil	EJ/yr	0.01	0.01	0.01
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Computer|Biomass Solids	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Computer|Coal	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Computer|Gas	EJ/yr	0.06	0.06	0.07
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Computer|Oil	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Fab metal|Biomass Solids	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Fab metal|Coal	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Fab metal|Gas	EJ/yr	0.24	0.21	0.23
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Fab metal|Oil	EJ/yr	0.01	0.01	0.01
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Machinery|Biomass Solids	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Machinery|Coal	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Machinery|Gas	EJ/yr	0.09	0.08	0.09
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Machinery|Oil	EJ/yr	0.01	0.01	0.01
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Transport equip|Biomass Solids	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Transport equip|Coal	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Transport equip|Gas	EJ/yr	0.19	0.19	0.23
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Metal durables|Transport equip|Oil	EJ/yr	0.01	0.01	0.01
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Plastic & rubber|Biomass Solids	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Plastic & rubber|Coal	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Plastic & rubber|Gas	EJ/yr	0.12	0.12	0.14
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Plastic & rubber|Oil	EJ/yr	0.01	0.01	0.01
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Wood Products|Biomass Solids	EJ/yr	0.32	0.42	0.43
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Wood Products|Coal	EJ/yr	0	0	0
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Wood Products|Gas	EJ/yr	0.07	0.07	0.07
AEO.2020	REF2020	USA	Final Energy|Industry|NonEInt Mfg|Wood Products|Oil	EJ/yr	0.02	0.02	0.02
AEO.2020	REF2020	USA	Final Energy|Transportation	EJ/yr	29.79	27.33	26.89
AEO.2020	REF2020	USA	Final Energy|Transportation|Electricity	EJ/yr	0.06	0.16	0.31
AEO.2020	REF2020	USA	GDP|Consumption	billion US$2018/yr	14174.02	17516.92	21303.47
AEO.2020	REF2020	USA	GDP|Exports	billion US$2018/yr	2852.13	4119.14	5494.55
AEO.2020	REF2020	USA	GDP|Government	billion US$2018/yr	3428.74	3544.45	3766.51
AEO.2020	REF2020	USA	GDP|Imports	billion US$2018/yr	3926.52	5428.75	6874.37
AEO.2020	REF2020	USA	GDP|Investment	billion US$2018/yr	3030.06	3956.71	4987.83
AEO.2020	REF2020	USA	GDP|MER	billion US$2018/yr	20310.29	24544.04	29435.51
AEO.2020	REF2020	USA	Output|Industry|EInt Mfg|Aluminum|Value	billion US$2018/yr	44.37	46.87	51.87
AEO.2020	REF2020	USA	Output|Industry|EInt Mfg|Bulk chemicals|Value	billion US$2018/yr	468.61	585.04	665.27
AEO.2020	REF2020	USA	Output|Industry|EInt Mfg|Cement and lime|Value	billion US$2018/yr	14.97	17.53	19.99
AEO.2020	REF2020	USA	Output|Industry|EInt Mfg|Food products|Value	billion US$2018/yr	976.34	1166.91	1377.72
AEO.2020	REF2020	USA	Output|Industry|EInt Mfg|Glass|Value	billion US$2018/yr	26.24	30.29	33.97
AEO.2020	REF2020	USA	Output|Industry|EInt Mfg|Iron and steel|Value	billion US$2018/yr	140.88	130.12	132.55
AEO.2020	REF2020	USA	Output|Industry|EInt Mfg|Paper|Value	billion US$2018/yr	178.11	183.07	192.05
AEO.2020	REF2020	USA	Output|Industry|Non Mfg|Agriculture|Value	billion US$2018/yr	547.93	637.63	731.06
AEO.2020	REF2020	USA	Output|Industry|Non Mfg|Construction|Value	billion US$2018/yr	1424.62	1718	1976.35
AEO.2020	REF2020	USA	Output|Industry|Non Mfg|Other mining|Value	billion US$2018/yr	806.93	901.69	925.79
AEO.2020	REF2020	USA	Output|Industry|NonEInt Mfg|Metal durables|Appliances|Value	billion US$2018/yr	135.76	159.83	196.43
AEO.2020	REF2020	USA	Output|Industry|NonEInt Mfg|Metal durables|Machinery|Value	billion US$2018/yr	403.35	467.86	548.82
AEO.2020	REF2020	USA	Output|Industry|NonEInt Mfg|Metal durables|Transport equip|Value	billion US$2018/yr	1025.11	1212.38	1603
AEO.2020	REF2020	USA	Price|Final Energy|Commercial|Electricity	US$2018/GJ	28.56	28.76	27.63
AEO.2020	REF2020	USA	Price|Final Energy|Commercial|Gas	US$2018/GJ	6.76	7.8	8.05
AEO.2020	REF2020	USA	Price|Final Energy|Commercial|Oil	US$2018/GJ	20.2	19.11	21.13
AEO.2020	REF2020	USA	Price|Final Energy|Electricity	US$2018/GJ	28.28	28.72	28.06
AEO.2020	REF2020	USA	Price|Final Energy|Gas	US$2018/GJ	4.5	5.37	5.46
AEO.2020	REF2020	USA	Price|Final Energy|Industrial|Electricity	US$2018/GJ	18.67	18.2	17.68
AEO.2020	REF2020	USA	Price|Final Energy|Industrial|Gas	US$2018/GJ	3.25	3.93	4.06
AEO.2020	REF2020	USA	Price|Final Energy|Industrial|Oil	US$2018/GJ	20.13	18.88	20.9
AEO.2020	REF2020	USA	Price|Final Energy|Oil	US$2018/GJ	20.73	22.13	24.52
